metric_code,natural_minimum,global_best_all,global_best_female,global_best_male,standard,source_codes,retrieval_dates
NetSecEnrol,0,100,100,100,Both,UNESCO,20201027
NetPrimEnrol,0,100,100,100,Core,UNESCO,20201027
PISAscience,0,83,83,83,HiY,OECD_ed,20201027
PISAmath,0,86,86,86,HiY,OECD_ed,20201027
PISAreading,0,81,81,81,HiY,OECD_ed,20201027
NotStunted,26,97.7,97.7,97.7,Core,JME,20201101
FoodSecure,11,100,100,100,HiY,FAOSTAT,20201102
AdultSurvival,24,96,97,94,Both,UNPD_MPI,20201021
U5Survival,66.9,100,100,100,Both,UN_IGME,20201020
Contraception,0,85,85,85,Core,UNPD,20201103
NotLowBirWt,63.8,97,97,97,HiY,"OECD,WB_WDI","20201102,20201102"
WaterInHome,0,100,100,100,Core,WHO_UNICEF_JMP,20201103
BasicSanitation,0,100,100,100,Core,WHO_UNICEF_JMP,20210120
SafeSanitation,0,100,100,100,HiY,WHO_UNICEF_JMP,20210120
AffordHouse,5,100,100,100,HiY,EuroStats,20210120
NotRelPoor,70.6,98,98,98,HiY,"LIS,OECD","20201112,20201113"
NotAbsPoor,0,100,100,100,Core,WB_POVCAL,20201019
NotLTUnemploy,15,100,100,100,HiY,OECD_unempl,20201210
